"id","espn_id","week","season","home_team","away_team","home_team_logo","away_team_logo","home_team_record","away_team_record","spread","favorite_team","game_time","status","home_score","away_score","home_team_ppg","home_team_ppg_allowed","home_team_fpi","away_team_ppg","away_team_ppg_allowed","away_team_fpi","period","display_clock","status_type","winning_team_win_prob","losing_team_win_prob"
"009a2f6f-c791-4f7c-80a2-61e12cd49ce0","401772827","1","2025","WSH","NYG","https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/wsh.png","https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/nyg.png","1-0","0-1",,,"""2025-09-07T17:00:00.000Z""","post","21","6",,,,,,,,,,,
"00a25211-2151-49de-96dd-eecb1280c2e4","401772788","13","2025","LAC","LV","https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lac.png","https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lv.png","8-4","2-10",,,"""2025-11-30T21:25:00.000Z""","post","31","14",,,"73.4",,,"26.4","4","0:00","STATUS_FINAL","73.4","26.4"
"00fe4228-76b4-4a8a-89d5-fc8bacd1e824","401671874","16","2024","MIA","SF","https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/mia.png","https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/sf.png","0-0","0-0",,,"""2024-12-22T21:25:00.000Z""","post","29","17",,,,,,,,,,,
"01b38b62-0eeb-482b-ba65-10d5468a0d1a","401772884","11","2025","LAR","SEA","https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lar.png","https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/sea.png","8-2","7-3",,,"""2025-11-16T21:05:00.000Z""","post","21","19",,,,,,,"4","0:00","STATUS_FINAL","61.2","38.4"
"01bd09eb-7b8e-4ddf-85f9-903c6390a8d3","401671786","2","2024","HOU","CHI","https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/hou.png","https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/chi.png","0-0","0-0",,,"""2024-09-16T00:20:00.000Z""","post","19","13",,,,,,,,,,,
"01da19cf-c803-488e-a248-61b7f4a0a0e4","401671765","17","2024","PHI","DAL","https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/phi.png","https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/dal.png","0-0","0-0",,,"""2024-12-29T18:00:00.000Z""","post","41","7",,,,,,,,,,,
"02a74aac-db07-4ef6-9008-16ab15999c67","401772970","18","2025","JAX","TEN","https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/jax.png","https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ten.png","12-4","3-13","-11.5","JAX","""2026-01-04T18:00:00.000Z""","post","41","7","27.1","20.6","77.5","17.3","27.3","22.3","4","0:00","STATUS_FINAL","77.5","22.3"
"02d05d9f-bdba-4535-9710-9f6980c81cc3","401671857","4","2024","HOU","JAX","https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/hou.png","https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/jax.png","0-0","0-0",,,"""2024-09-29T17:00:00.000Z""","post","24","20",,,,,,,,,,,
"03452ff1-f0d2-4e79-b52f-dbe07de90710","401772867","8","2025","PHI","NYG","https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/phi.png","https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/nyg.png","6-2","2-6",,,"""2025-10-26T17:00:00.000Z""","post","38","20",,,,,,,"4","0:00","STATUS_FINAL","64.5","35.3"
"037eeb17-0a48-44f0-bfc4-d65ef659c1e4","401772635","7","2025","JAX","LAR","https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/jax.png","https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lar.png","4-3","5-2",,,"""2025-10-19T13:30:00.000Z""","post","7","35",,,,,,,"4","0:00","STATUS_FINAL",,
